listing_id,amenity_name,amenity_category
658772827164292906,Iron,Bedroom and laundry
658772827164292906,Safe,Bedroom and laundry
658772827164292906,Clothing storage: dresser,Bedroom and laundry
658772827164292906,TV,Entertainment
658772827164292906,Sound system,Entertainment
658772827164292906,Books and reading material,Entertainment
658772827164292906,Window AC unit,Heating and cooling
658772827164292906,Central heating,Heating and cooling
658772827164292906,Lock on bedroom door,Privacy and safety
658772827164292906,Smoke alarm,Privacy and safety
658772827164292906,First aid kit,Privacy and safety
658772827164292906,Wifi,Internet and office
658772827164292906,Kitchen,Kitchen and dining
658772827164292906,Refrigerator,Kitchen and dining
658772827164292906,Microwave,Kitchen and dining
658772827164292906,Cooking basics,Kitchen and dining
658772827164292906,Dishes and silverware,Kitchen and dining
658772827164292906,Freezer,Kitchen and dining
658772827164292906,Dishwasher,Kitchen and dining
658772827164292906,Stove,Kitchen and dining
658772827164292906,Oven,Kitchen and dining
658772827164292906,Coffee maker,Kitchen and dining
658772827164292906,Wine glasses,Kitchen and dining
658772827164292906,Toaster,Kitchen and dining
658772827164292906,Baking sheet,Kitchen and dining
658772827164292906,Blender,Kitchen and dining
658772827164292906,Trash compactor,Kitchen and dining
658772827164292906,Coffee,Kitchen and dining
658772827164292906,Self check-in,Services
658772827164292906,Keypad,Services
658772827164292906,Exterior security cameras on property,Not included
658772827164292906,Carbon monoxide alarm,Not included
1393719303728971026,Hair dryer,Bathroom
1393719303728971026,Cleaning products,Bathroom
1393719303728971026,Shampoo,Bathroom
1393719303728971026,Body soap,Bathroom
1393719303728971026,Hot water,Bathroom
1393719303728971026,Shower gel,Bathroom
1393719303728971026,Essentials,Bedroom and laundry
1393719303728971026,Hangers,Bedroom and laundry
44476913,Shampoo,Bathroom
1393719303728971026,Bed linens,Bedroom and laundry
1393719303728971026,Extra pillows and blankets,Bedroom and laundry
1393719303728971026,Room-darkening shades,Bedroom and laundry
1393719303728971026,Iron,Bedroom and laundry
1393719303728971026,TV,Entertainment
1393719303728971026,Air conditioning,Heating and cooling
1393719303728971026,Ceiling fan,Heating and cooling
1393719303728971026,Central heating,Heating and cooling
1393719303728971026,Lock on bedroom door,Privacy and safety
1393719303728971026,Exterior security cameras on property,Privacy and safety
1393719303728971026,Smoke alarm,Privacy and safety
1393719303728971026,Carbon monoxide alarm,Privacy and safety
1393719303728971026,Fire extinguisher,Privacy and safety
1393719303728971026,First aid kit,Privacy and safety
1393719303728971026,Wifi,Internet and office
1393719303728971026,Dedicated workspace,Internet and office
1393719303728971026,Kitchen,Kitchen and dining
1393719303728971026,Refrigerator,Kitchen and dining
1393719303728971026,Microwave,Kitchen and dining
1393719303728971026,Cooking basics,Kitchen and dining
1393719303728971026,Dishes and silverware,Kitchen and dining
1393719303728971026,Freezer,Kitchen and dining
1393719303728971026,Dishwasher,Kitchen and dining
1393719303728971026,Stove,Kitchen and dining
1393719303728971026,Oven,Kitchen and dining
1393719303728971026,Hot water kettle,Kitchen and dining
1393719303728971026,Coffee maker: Keurig coffee machine,Kitchen and dining
1393719303728971026,Wine glasses,Kitchen and dining
1393719303728971026,Toaster,Kitchen and dining
1393719303728971026,Baking sheet,Kitchen and dining
1393719303728971026,Trash compactor,Kitchen and dining
1393719303728971026,Dining table,Kitchen and dining
1393719303728971026,Coffee,Kitchen and dining
1393719303728971026,Laundromat nearby,Location features
1393719303728971026,Paid street parking off premises,Parking and facilities
1393719303728971026,Luggage dropoff allowed,Services
1393719303728971026,Self check-in,Services
1393719303728971026,Keypad,Services
1393719303728971026,Housekeeping available from 11:30 AM to 4:00 AM,Services
1393719303728971026,Washer,Not included
1393719303728971026,Dryer,Not included
1226899584080273038,Bathtub,Bathroom
1226899584080273038,Hair dryer,Bathroom
1226899584080273038,Cleaning products,Bathroom
1226899584080273038,Hot water,Bathroom
1226899584080273038,Hangers,Bedroom and laundry
1226899584080273038,Bed linens,Bedroom and laundry
1226899584080273038,Extra pillows and blankets,Bedroom and laundry
1226899584080273038,Room-darkening shades,Bedroom and laundry
1226899584080273038,Iron,Bedroom and laundry
1226899584080273038,Clothing storage,Bedroom and laundry
1226899584080273038,Books and reading material,Entertainment
1226899584080273038,Air conditioning,Heating and cooling
1226899584080273038,Portable fans,Heating and cooling
1226899584080273038,Radiant heating,Heating and cooling
1226899584080273038,Lock on bedroom door,Privacy and safety
1226899584080273038,Exterior security cameras on property,Privacy and safety
1226899584080273038,Smoke alarm,Privacy and safety
1226899584080273038,Carbon monoxide alarm,Privacy and safety
1226899584080273038,Fire extinguisher,Privacy and safety
1226899584080273038,First aid kit,Privacy and safety
1226899584080273038,Wifi,Internet and office
1226899584080273038,Dedicated workspace,Internet and office
1226899584080273038,Kitchen,Kitchen and dining
1226899584080273038,Refrigerator,Kitchen and dining
1226899584080273038,Microwave,Kitchen and dining
1226899584080273038,Cooking basics,Kitchen and dining
1226899584080273038,Dishes and silverware,Kitchen and dining
1226899584080273038,Freezer,Kitchen and dining
1226899584080273038,Stove,Kitchen and dining
1226899584080273038,Oven,Kitchen and dining
1226899584080273038,Hot water kettle,Kitchen and dining
1226899584080273038,Wine glasses,Kitchen and dining
1226899584080273038,Toaster,Kitchen and dining
1226899584080273038,Dining table,Kitchen and dining
1226899584080273038,Laundromat nearby,Location features
1226899584080273038,Private backyard,Outdoor
1226899584080273038,Outdoor furniture,Outdoor
1226899584080273038,Outdoor dining area,Outdoor
1226899584080273038,Free street parking,Parking and facilities
1226899584080273038,Luggage dropoff allowed,Services
1226899584080273038,Long term stays allowed,Services
1226899584080273038,Self check-in,Services
1226899584080273038,Smart lock,Services
1226899584080273038,Cleaning available during stay,Services
1226899584080273038,TV,Not included
1226899584080273038,Washer,Not included
1226899584080273038,Dryer,Not included
1226899584080273038,Essentials,Not included
752124417745502491,Hair dryer,Bathroom
752124417745502491,Shampoo,Bathroom
752124417745502491,Hot water,Bathroom
752124417745502491,Essentials,Bedroom and laundry
752124417745502491,Hangers,Bedroom and laundry
752124417745502491,Bed linens,Bedroom and laundry
752124417745502491,Room-darkening shades,Bedroom and laundry
752124417745502491,Iron,Bedroom and laundry
752124417745502491,TV,Entertainment
752124417745502491,Air conditioning,Heating and cooling
752124417745502491,Heating,Heating and cooling
752124417745502491,Noise decibel monitors on property,Home safety
752124417745502491,Smoke alarm,Home safety
752124417745502491,Carbon monoxide alarm,Home safety
752124417745502491,Fire extinguisher,Home safety
752124417745502491,First aid kit,Home safety
752124417745502491,Wifi,Internet and office
752124417745502491,Dedicated workspace,Internet and office
752124417745502491,Refrigerator,Kitchen and dining
752124417745502491,Microwave,Kitchen and dining
752124417745502491,Dishes and silverware,Kitchen and dining
752124417745502491,Coffee maker,Kitchen and dining
752124417745502491,Elevator,Parking and facilities
752124417745502491,Paid parking off premises,Parking and facilities
752124417745502491,Pets allowed,Services
752124417745502491,Long term stays allowed,Services
752124417745502491,Self check-in,Services
752124417745502491,Smart lock,Services
752124417745502491,Housekeeping available every day,Services
752124417745502491,Kitchen,Not included
752124417745502491,Washer,Not included
752124417745502491,Private entrance,Not included
1359703325354680777,Bathtub,Bathroom
1359703325354680777,Hair dryer,Bathroom
1359703325354680777,Cleaning products,Bathroom
1359703325354680777,Shampoo,Bathroom
1359703325354680777,Conditioner,Bathroom
1359703325354680777,Body soap,Bathroom
1359703325354680777,Hot water,Bathroom
1359703325354680777,Shower gel,Bathroom
1359703325354680777,Paid washer – In building,Bedroom and laundry
1359703325354680777,Paid dryer – In building,Bedroom and laundry
1359703325354680777,Hangers,Bedroom and laundry
1359703325354680777,Bed linens,Bedroom and laundry
1359703325354680777,Extra pillows and blankets,Bedroom and laundry
1359703325354680777,Iron,Bedroom and laundry
1359703325354680777,Drying rack for clothing,Bedroom and laundry
1359703325354680777,Clothing storage,Bedroom and laundry
1359703325354680777,TV,Entertainment
1359703325354680777,Heating,Heating and cooling
1359703325354680777,Lock on bedroom door,Privacy and safety
1359703325354680777,Exterior security cameras on property,Privacy and safety
1359703325354680777,Smoke alarm,Privacy and safety
1359703325354680777,Carbon monoxide alarm,Privacy and safety
1359703325354680777,Fire extinguisher,Privacy and safety
1359703325354680777,First aid kit,Privacy and safety
1359703325354680777,Wifi,Internet and office
1359703325354680777,Dedicated workspace,Internet and office
1359703325354680777,Hot water kettle,Kitchen and dining
1359703325354680777,Coffee maker,Kitchen and dining
1359703325354680777,Coffee,Kitchen and dining
1359703325354680777,Laundromat nearby,Location features
1359703325354680777,Paid street parking off premises,Parking and facilities
1359703325354680777,Luggage dropoff allowed,Services
1359703325354680777,Long term stays allowed,Services
1359703325354680777,Self check-in,Services
1359703325354680777,Smart lock,Services
1359703325354680777,Housekeeping available every day - available at extra cost,Services
1359703325354680777,Kitchen,Not included
1359703325354680777,Air conditioning,Not included
1359703325354680777,Essentials,Not included
1359703325354680777,Private entrance,Not included
1401563439385046117,Hair dryer,Bathroom
1401563439385046117,Cleaning products,Bathroom
1401563439385046117,Shampoo,Bathroom
1401563439385046117,Body soap,Bathroom
1401563439385046117,Hot water,Bathroom
1401563439385046117,Shower gel,Bathroom
1401563439385046117,Paid washer – In unit,Bedroom and laundry
1401563439385046117,Paid dryer – In unit,Bedroom and laundry
1401563439385046117,Essentials,Bedroom and laundry
1401563439385046117,Hangers,Bedroom and laundry
1401563439385046117,Bed linens,Bedroom and laundry
1401563439385046117,Iron,Bedroom and laundry
1401563439385046117,Heating,Heating and cooling
1401563439385046117,Lock on bedroom door,Privacy and safety
1401563439385046117,Exterior security cameras on property,Privacy and safety
1401563439385046117,Smoke alarm,Privacy and safety
1401563439385046117,Carbon monoxide alarm,Privacy and safety
1401563439385046117,Fire extinguisher,Privacy and safety
1401563439385046117,First aid kit,Privacy and safety
1401563439385046117,Wifi,Internet and office
1401563439385046117,Dedicated workspace,Internet and office
1401563439385046117,Kitchen,Kitchen and dining
1401563439385046117,Refrigerator,Kitchen and dining
1401563439385046117,Microwave,Kitchen and dining
1401563439385046117,Cooking basics,Kitchen and dining
1401563439385046117,Dishes and silverware,Kitchen and dining
1401563439385046117,Freezer,Kitchen and dining
1401563439385046117,Stove,Kitchen and dining
1401563439385046117,Oven,Kitchen and dining
1401563439385046117,Hot water kettle,Kitchen and dining
1401563439385046117,Coffee maker,Kitchen and dining
1401563439385046117,Wine glasses,Kitchen and dining
1401563439385046117,Toaster,Kitchen and dining
1401563439385046117,Dining table,Kitchen and dining
1401563439385046117,Patio or balcony,Outdoor
1401563439385046117,Backyard,Outdoor
1401563439385046117,Outdoor dining area,Outdoor
1401563439385046117,Pets allowed,Services
1401563439385046117,Long term stays allowed,Services
1401563439385046117,TV,Not included
1401563439385046117,Air conditioning,Not included
19710742,Bathtub,Bathroom
19710742,Hair dryer,Bathroom
19710742,365 shampoo,Bathroom
19710742,Hot water,Bathroom
19710742,Shower gel,Bathroom
19710742,Essentials,Bedroom and laundry
19710742,Hangers,Bedroom and laundry
19710742,Bed linens,Bedroom and laundry
19710742,Room-darkening shades,Bedroom and laundry
19710742,Iron,Bedroom and laundry
19710742,Clothing storage: closet and dresser,Bedroom and laundry
19710742,Air conditioning,Heating and cooling
19710742,Heating,Heating and cooling
19710742,Lock on bedroom door,Privacy and safety
19710742,Smoke alarm,Privacy and safety
19710742,First aid kit,Privacy and safety
19710742,Wifi,Internet and office
